Source,Target,Weight
Activiti/Activiti,Graylog2/graylog2-server,1
objectbox/objectbox-java,tbruyelle/RxPermissions,1
apache/storm,apache/jmeter,1
spring-projects/spring-boot,elastic/elasticsearch,1
pushtorefresh/storio,spotify/helios,1
apereo/cas,alibaba/jvm-sandbox,1
apache/kylin,apache/storm,1
Netflix/archaius,spring-projects/spring-boot,1
square/leakcanary,square/javapoet,1
dropwizard/metrics,spring-projects/spring-boot,1
mockito/mockito,koral--/android-gif-drawable,1
codecentric/spring-boot-admin,apereo/cas,1
Graylog2/graylog2-server,mockito/mockito,1
objectbox/objectbox-java,facebook/stetho,1
kabouzeid/Phonograph,TeamNewPipe/NewPipe,1
CymChad/BaseRecyclerViewAdapterHelper,CarGuo/GSYVideoPlayer,1
web3j/web3j,lettuce-io/lettuce-core,1
lipangit/JiaoZiVideoPlayer,Malinskiy/SuperRecyclerView,1
MinecraftForge/MinecraftForge,square/okhttp,1
naver/pinpoint,dropwizard/dropwizard,1
skylot/jadx,oblac/jodd,1
crate/crate,naver/pinpoint,1
JanusGraph/janusgraph,google/guava,1
rabbitmq/rabbitmq-tutorials,spring-projects/spring-framework,1
square/sqlbrite,JakeWharton/ThreeTenABP,1
junit-team/junit5,apache/beam,1
apache/hive,google/ExoPlayer,1
apache/tomcat,apache/kylin,1
shwenzhang/AndResGuard,bumptech/glide,1
square/picasso,square/sqlbrite,1
spockframework/spock,lettuce-io/lettuce-core,1
facebook/fresco,prestodb/presto,1
grpc/grpc-java,eclipse/jetty.project,1
square/leakcanary,square/tape,1
apache/cordova-android,reactor/reactor-core,1
H07000223/FlycoTabLayout,jdsjlzx/LRecyclerView,1
netty/netty,junit-team/junit5,1
apache/zeppelin,netty/netty,1
LuckSiege/PictureSelector,mcxtzhang/SwipeDelMenuLayout,1
ben-manes/caffeine,google/guice,1
realm/realm-java,ReactiveX/RxJava,1
MinecraftForge/MinecraftForge,spring-projects/spring-boot,1
square/okhttp,cymcsg/UltimateRecyclerView,1
naver/pinpoint,pushtorefresh/storio,1
Screetsec/TheFatRat,iBotPeaches/Apktool,1
square/retrofit,square/tape,1
oblac/jodd,spring-projects/spring-boot,1
alibaba/canal,alibaba/ARouter,1
google/guava,googlesamples/easypermissions,1
JakeWharton/ThreeTenABP,square/leakcanary,1
google/closure-compiler,googlesamples/android-testing,1
spring-projects/spring-boot,apache/jmeter,1
bluelinelabs/Conductor,PhilJay/MPAndroidChart,1
rzwitserloot/lombok,reactor/reactor-core,1
google/ExoPlayer,bumptech/glide,1
reactor/reactor-core,pushtorefresh/storio,1
JessYanCoding/MVPArms,luojilab/DDComponentForAndroid,1
alibaba/atlas,alibaba/ARouter,1
mockito/mockito,tomakehurst/wiremock,1
facebook/litho,prestodb/presto,1
LuckSiege/PictureSelector,goldze/MVVMHabit,1
aritraroy/UltimateAndroidReference,aritraroy/PatternLockView,1
rzwitserloot/lombok,bazelbuild/bazel,1
ReactiveX/RxAndroid,trello/RxLifecycle,1
apache/kylin,apache/kafka,1
scwang90/SmartRefreshLayout,luojilab/DDComponentForAndroid,1
yhaolpz/FloatWindow,CymChad/BaseRecyclerViewAdapterHelper,1
ctripcorp/apollo,codecentric/spring-boot-admin,1
apache/kafka,apache/lucene-solr,1
JakeWharton/butterknife,square/picasso,1
spockframework/spock,Activiti/Activiti,1
JakeWharton/butterknife,square/tape,1
pmd/pmd,JanusGraph/janusgraph,1
netty/netty,json-path/JsonPath,1
ReactiveX/RxJava,square/sqlbrite,1
spring-projects/spring-framework,rabbitmq/rabbitmq-tutorials,1
TeamNewPipe/NewPipe,kabouzeid/Phonograph,1
square/okhttp,googlesamples/easypermissions,1
TheAlgorithms/Java,sherxon/AlgoDS,1
NanoHttpd/nanohttpd,apache/flink,1
JakeWharton/butterknife,pmd/pmd,1
brettwooldridge/HikariCP,square/moshi,1
bumptech/glide,JakeWharton/ThreeTenABP,1
pushtorefresh/storio,pwittchen/ReactiveNetwork,1
Activiti/Activiti,MinecraftForge/MinecraftForge,1
web3j/web3j,spockframework/spock,1
pwittchen/ReactiveNetwork,apache/cordova-android,1
rest-assured/rest-assured,spring-projects/spring-data-examples,1
square/retrofit,square/sqlbrite,1
bumptech/glide,MinecraftForge/MinecraftForge,1
JakeWharton/ThreeTenABP,google/gson,1
mockito/mockito,crate/crate,1
google/gson,square/sqlbrite,1
bumptech/glide,TeamNewPipe/NewPipe,1
androidannotations/androidannotations,realm/realm-java,1
pedant/sweet-alert-dialog,lipangit/JiaoZiVideoPlayer,1
btraceio/btrace,apache/jmeter,1
square/leakcanary,google/gson,1
termux/termux-app,kabouzeid/Phonograph,1
MinecraftForge/MinecraftForge,netty/netty,1
daniulive/SmarterStreaming,lipangit/JiaoZiVideoPlayer,1
bazelbuild/bazel,google/gson,1
bazelbuild/bazel,square/javapoet,1
apache/kylin,apache/hive,1
json-path/JsonPath,JanusGraph/janusgraph,1
mockito/mockito,btraceio/btrace,1
Karumi/Dexter,futuresimple/android-floating-action-button,1
apache/beam,flyway/flyway,1
firebase/quickstart-android,googlesamples/android-testing,1
ctripcorp/apollo,spring-cloud/spring-cloud-netflix,1
vert-x3/vertx-examples,ReactiveX/RxJava,1
alibaba/canal,Activiti/Activiti,1
springfox/springfox,OpenRefine/OpenRefine,1
pmd/pmd,ben-manes/caffeine,1
JakeWharton/ThreeTenABP,trello/RxLifecycle,1
CalebFenton/simplify,ctripcorp/apollo,1
bumptech/glide,shwenzhang/AndResGuard,1
elastic/elasticsearch,testcontainers/testcontainers-java,1
uber/AutoDispose,facebook/buck,1
btraceio/btrace,koral--/android-gif-drawable,1
apache/cordova-android,crate/crate,1
square/javapoet,bazelbuild/bazel,1
square/dagger,bazelbuild/bazel,1
ethereum/ethereumj,apereo/cas,1
square/retrofit,square/leakcanary,1
airbnb/native-navigation,permissions-dispatcher/PermissionsDispatcher,1
yanzhenjie/SwipeRecyclerView,yanzhenjie/Album,1
elastic/elasticsearch,medcl/elasticsearch-analysis-ik,1
pwittchen/ReactiveNetwork,pushtorefresh/storio,1
Freeyourgadget/Gadgetbridge,zxing/zxing,1
crate/crate,apache/jmeter,1
huangyanbin/smartTable,CymChad/BaseRecyclerViewAdapterHelper,1
uber/AutoDispose,resilience4j/resilience4j,1
mockito/mockito,naver/pinpoint,1
google/ExoPlayer,google/gson,1
bumptech/glide,JakeWharton/butterknife,1
davideas/FlexibleAdapter,tbruyelle/RxPermissions,1
apache/hive,apache/lucene-solr,1
zxing/zxing,apache/cordova-android,1
LuckSiege/PictureSelector,scwang90/SmartRefreshLayout,1
apache/jmeter,apache/hive,1
pushtorefresh/storio,koral--/android-gif-drawable,1
apache/jmeter,apache/kylin,1
eclipse/jetty.project,SeleniumHQ/selenium,1
uber/AutoDispose,JakeWharton/butterknife,1
CalebFenton/simplify,apache/incubator-skywalking,1
alibaba/canal,Graylog2/graylog2-server,1
FasterXML/jackson-databind,hibernate/hibernate-orm,1
apache/cordova-android,naver/pinpoint,1
square/tape,square/retrofit,1
spring-projects/spring-data-examples,tomakehurst/wiremock,1
lingochamp/FileDownloader,jeasonlzy/okhttp-OkGo,1
reactive-streams/reactive-streams-jvm,ReactiveX/RxJava,1
googlesamples/easypermissions,square/okhttp,1
crazycodeboy/react-native-splash-screen,DylanVann/react-native-fast-image,1
puniverse/quasar,google/gson,1
uber/AutoDispose,alibaba/atlas,1
resilience4j/resilience4j,ReactiveX/RxJava,1
alibaba/druid,apereo/cas,1
perwendel/spark,gocd/gocd,1
PhilJay/MPAndroidChart,aurelhubert/ahbottomnavigation,1
Netflix/zuul,Netflix/archaius,1
goldze/MVVMHabit,orhanobut/logger,1
mikepenz/AboutLibraries,mikepenz/MaterialDrawer,1
skylot/jadx,springfox/springfox,1
apache/zookeeper,weibocom/motan,1
google/auto,junit-team/junit5,1
ReactiveX/RxAndroid,square/picasso,1
mockito/mockito,cglib/cglib,1
ctripcorp/apollo,mockito/mockito,1
alibaba/jvm-sandbox,Activiti/Activiti,1
apache/ignite,apache/zeppelin,1
JakeWharton/RxRelay,bluelinelabs/Conductor,1
apache/zeppelin,h2oai/h2o-3,1
crazycodeboy/TakePhoto,zhihu/Matisse,1
google/closure-compiler,bazelbuild/bazel,1
spring-projects/spring-data-examples,spring-cloud/spring-cloud-netflix,1
JakeWharton/butterknife,grpc/grpc-java,1
ReactiveX/RxJava,lettuce-io/lettuce-core,1
grpc/grpc-java,openzipkin/zipkin,1
Graylog2/graylog2-server,Activiti/Activiti,1
google/gson,googlesamples/easypermissions,1
ctripcorp/apollo,alibaba/canal,1
guardianproject/haven,reactor/reactor-core,1
Justson/AgentWeb,YoKeyword/Fragmentation,1
alibaba/druid,square/retrofit,1
scwang90/SmartRefreshLayout,H07000223/FlycoTabLayout,1
Karumi/Dexter,jgilfelt/chuck,1
square/picasso,google/auto,1
square/picasso,ReactiveX/RxAndroid,1
yanzhenjie/SwipeRecyclerView,CymChad/BaseRecyclerViewAdapterHelper,1
json-path/JsonPath,pmd/pmd,1
TeamNewPipe/NewPipe,wasabeef/glide-transformations,1
google/ExoPlayer,mikepenz/FastAdapter,1
mybatis/mybatis-3,mybatis/spring-boot-starter,1
elastic/elasticsearch,hankcs/HanLP,1
yipianfengye/android-zxingLibrary,CymChad/BaseRecyclerViewAdapterHelper,1
