name,created_at,closed_at,lifespan,pr_id,merged_at,merged
google/closure-compiler,2016-02-04 22:35:47 UTC,2016-09-26 03:42:28 UTC,337267,1497,,false
google/closure-compiler,2016-10-05 19:37:31 UTC,2016-10-05 23:36:52 UTC,239,2063,,false
google/closure-compiler,2016-10-28 17:19:38 UTC,2016-10-29 00:38:31 UTC,439,2111,,false
google/closure-compiler,2016-11-25 12:27:54 UTC,2016-12-22 05:17:16 UTC,38450,2172,,false
google/closure-compiler,2016-05-26 21:27:00 UTC,2016-05-26 23:40:18 UTC,133,1818,,false
google/closure-compiler,2016-09-02 12:34:57 UTC,2016-09-02 12:46:13 UTC,12,1994,,false
google/closure-compiler,2016-02-15 22:15:07 UTC,2016-02-26 18:34:46 UTC,15619,1553,,false
google/closure-compiler,2016-11-11 23:45:29 UTC,2016-11-16 18:44:30 UTC,6899,2143,,false
google/closure-compiler,2016-01-21 09:55:22 UTC,2016-02-08 19:22:12 UTC,26487,1418,,false
google/closure-compiler,2016-10-10 11:56:20 UTC,2016-10-13 00:13:49 UTC,3617,2078,,false
google/closure-compiler,2016-02-19 20:11:31 UTC,2016-03-10 00:17:40 UTC,27606,1573,,false
google/closure-compiler,2016-05-19 08:12:26 UTC,2016-05-20 23:29:46 UTC,2357,1800,,false
google/closure-compiler,2016-05-05 16:28:46 UTC,2016-08-23 22:49:48 UTC,158781,1774,,false
google/closure-compiler,2016-11-12 19:54:40 UTC,2016-11-15 21:27:58 UTC,4413,2145,,false
google/closure-compiler,2015-12-22 00:29:31 UTC,2016-01-04 22:53:03 UTC,20064,1328,,false
google/closure-compiler,2016-04-07 11:04:04 UTC,2016-04-07 23:19:35 UTC,735,1711,,false
google/closure-compiler,2016-08-28 20:28:04 UTC,2017-02-02 22:10:01 UTC,227622,1984,,false
google/closure-compiler,2017-02-19 11:14:53 UTC,2017-02-27 16:53:11 UTC,11859,2325,,false
google/closure-compiler,2017-01-27 22:47:03 UTC,2017-01-27 22:53:47 UTC,6,2263,,false
google/closure-compiler,2017-03-04 21:36:31 UTC,2017-03-27 23:25:58 UTC,33229,2350,,false
google/closure-compiler,2017-08-29 11:55:49 UTC,2017-08-29 23:01:31 UTC,666,2631,,false
google/closure-compiler,2017-08-16 18:36:47 UTC,2017-10-02 22:21:25 UTC,67905,2619,,false
google/closure-compiler,2017-11-15 00:11:27 UTC,2017-11-28 22:26:04 UTC,20055,2720,,false
google/closure-compiler,2017-12-11 10:35:47 UTC,2017-12-12 00:54:23 UTC,859,2753,,false
google/closure-compiler,2016-03-01 05:55:58 UTC,2017-01-20 18:05:24 UTC,468730,1602,,false
google/closure-compiler,2017-04-13 01:40:22 UTC,2017-04-13 20:20:38 UTC,1120,2431,,false
google/closure-compiler,2017-10-11 22:46:18 UTC,2017-10-13 20:25:00 UTC,2739,2675,,false
google/closure-compiler,2017-02-25 08:34:35 UTC,2017-03-10 22:51:48 UTC,19577,2335,,false
google/closure-compiler,2017-05-02 17:08:25 UTC,2017-05-09 18:58:43 UTC,10190,2472,,false
google/closure-compiler,2017-03-24 17:16:13 UTC,2017-03-29 18:27:37 UTC,7271,2387,,false
google/closure-compiler,2017-10-19 18:46:59 UTC,2017-10-19 19:52:12 UTC,66,2680,,false
google/closure-compiler,2017-06-16 02:26:59 UTC,2017-06-19 23:21:01 UTC,5575,2534,,false
google/closure-compiler,2017-06-28 14:59:26 UTC,2017-07-06 15:21:36 UTC,11542,2548,,false
google/closure-compiler,2017-08-30 22:40:30 UTC,2017-09-01 17:19:18 UTC,2559,2636,,false
google/closure-compiler,2017-07-14 00:12:43 UTC,2017-07-18 15:22:10 UTC,6670,2569,,false
google/closure-compiler,2017-03-14 11:47:59 UTC,2017-03-14 22:28:05 UTC,641,2370,,false
google/closure-compiler,2017-06-11 05:02:55 UTC,2017-11-30 18:20:17 UTC,248478,2527,,false
google/closure-compiler,2017-05-29 14:36:29 UTC,2017-07-26 12:11:19 UTC,83375,2509,,false
google/closure-compiler,2016-08-19 16:21:47 UTC,2016-08-28 18:27:46 UTC,13086,1968,,false
google/closure-compiler,2016-02-03 15:14:07 UTC,2016-02-05 03:46:11 UTC,2192,1490,,false
google/closure-compiler,2016-03-10 00:40:31 UTC,2016-03-10 00:51:01 UTC,11,1621,,false
google/closure-compiler,2016-02-13 18:30:59 UTC,2016-03-22 23:35:29 UTC,55025,1539,,false
google/closure-compiler,2016-10-29 06:57:36 UTC,2016-12-06 00:54:13 UTC,54357,2115,,false
