name,repo_name,login,contributions
YoKeyword/Fragmentation,YoKeyword/Fragmentation,YoKeyword,57
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,ffdixon,56
lettuce-io/lettuce-core,lettuce-io/lettuce-core,mp911de,56
apache/beam,apache/beam,herohde,56
eugenp/tutorials,eugenp/tutorials,lor6,55
Graylog2/graylog2-server,Graylog2/graylog2-server,joschi,55
apache/flink,apache/flink,bowenli86,55
airbnb/epoxy,airbnb/epoxy,elihart,55
evernote/android-job,evernote/android-job,vRallev,55
apache/ignite,apache/ignite,asfgit,55
testcontainers/testcontainers-java,testcontainers/testcontainers-java,kiview,55
SonarSource/sonarqube,SonarSource/sonarqube,stas-vilchik,55
neo4j/neo4j,neo4j/neo4j,Lojjs,55
confluentinc/ksql,confluentinc/ksql,satybald,55
apache/beam,apache/beam,lgajowy,55
eclipse/jetty.project,eclipse/jetty.project,sbordet,55
tronprotocol/java-tron,tronprotocol/java-tron,sasaxie,55
Graylog2/graylog2-server,Graylog2/graylog2-server,dennisoelkers,55
ThirtyDegreesRay/OpenHub,ThirtyDegreesRay/OpenHub,ThirtyDegreesRay,54
oblac/jodd,oblac/jodd,igr,54
dbeaver/dbeaver,dbeaver/dbeaver,tati-kru,54
apache/flink,apache/flink,pnowojski,54
web3j/web3j,web3j/web3j,conor10,54
Polidea/RxAndroidBle,Polidea/RxAndroidBle,dariuszseweryn,53
Freeyourgadget/Gadgetbridge,Freeyourgadget/Gadgetbridge,cpfeiffer,53
grpc/grpc-java,grpc/grpc-java,dapengzhang0,53
flyway/flyway,flyway/flyway,axelfontaine,53
neo4j/neo4j,neo4j/neo4j,pontusmelke,53
hazelcast/hazelcast,hazelcast/hazelcast,vbekiaris,53
naver/pinpoint,naver/pinpoint,Xylus,53
SeleniumHQ/selenium,SeleniumHQ/selenium,lmtierney,53
apache/kafka,apache/kafka,ijuma,52
apache/beam,apache/beam,bsidhom,52
prestodb/presto,prestodb/presto,highker,52
apache/flink,apache/flink,twalthr,52
react-native-community/react-native-camera,react-native-community/react-native-camera,jgfidelis,52
apache/flink,apache/flink,NicoK,51
confluentinc/ksql,confluentinc/ksql,apurvam,51
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,williewillus,51
apache/kafka,apache/kafka,dguy,51
Jasonchenlijian/FastBle,Jasonchenlijian/FastBle,Jasonchenlijian,51
Alluxio/alluxio,Alluxio/alluxio,bf8086,51
Graylog2/graylog2-server,Graylog2/graylog2-server,edmundoa,51
skylot/jadx,skylot/jadx,skylot,51
netty/netty,netty/netty,ejona86,50
orientechnologies/orientdb,orientechnologies/orientdb,luigidellaquila,50
spring-projects/spring-boot,spring-projects/spring-boot,jkschneider,50
neo4j/neo4j,neo4j/neo4j,klaren,50
alibaba/vlayout,alibaba/vlayout,longerian,50
ctripcorp/apollo,ctripcorp/apollo,nobodyiam,49
apache/incubator-skywalking,apache/incubator-skywalking,ascrutae,49
SonarSource/sonarqube,SonarSource/sonarqube,sns-seb,49
